name,taxid,preferred name,phylum,class,order,family,genus
Pseudomonas azotifigens,291995,Stutzerimonas azotifigens,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Stutzerimonas
Pseudomonas cremoricolorata,157783, ,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
Pseudomonas vranovensis,321661, ,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
Halanaerobium saccharolyticum,43595, ,Bacillota,Clostridia,Halanaerobiales,Halanaerobiaceae,Halanaerobium
Clostridium intestinale,36845, ,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium
Pseudomonas denitrificans,43306,Pseudomonas denitrificans (nom. rej.),Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Halopseudomonas
Clostridium straminisolvens,253314,Acetivibrio straminisolvens,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Acetivibrio
Roseibacterium elongatum,159346,Roseicyclus elongatus,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Roseicyclus
Pseudomonas veronii,76761, ,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
Photobacterium gaetbulicola,1295392, ,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Photobacterium
Gluconacetobacter xylinus,28448,Komagataeibacter xylinus,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Komagataeibacter
Mesorhizobium metallidurans,489722, ,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Phyllobacteriaceae,Mesorhizobium
Intestinimonas butyriciproducens,1297617, ,Bacillota,Clostridia,Eubacteriales,na,Intestinimonas
Gracilibacillus boraciitolerans,307521, ,Bacillota,Bacilli,Bacillales,Bacillaceae,Gracilibacillus
Comamonadaceae bacterium,1871071, ,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,na
Chryseobacterium oranimense,421058, ,Bacteroidota,Flavobacteriia,Flavobacteriales,Weeksellaceae,Chryseobacterium
Lysobacter dokdonensis,414050,Noviluteimonas dokdonensis,Pseudomonadota,Gammaproteobacteria,Lysobacterales,Lysobacteraceae,Noviluteimonas
Pseudomonas knackmussii,65741, ,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
Lactobacillus namurensis,380393,Levilactobacillus namurensis,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Levilactobacillus
Streptococcus oligofermentans,45634,Streptococcus cristatus,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus
Chthonomonas calidirosea,454171, ,Armatimonadota,Chthonomonadia,Chthonomonadales,Chthonomonadaceae,Chthonomonas
Dactylococcopsis salina,292566, ,Cyanobacteriota,Cyanophyceae,Synechococcales,Synechococcaceae,Dactylococcopsis
Salinisphaera hydrothermalis,563188, ,Pseudomonadota,Gammaproteobacteria,Salinisphaerales,Salinisphaeraceae,Salinisphaera
Hassallia byssoidea,482630, ,Cyanobacteriota,Cyanophyceae,Nostocales,Tolypothrichaceae,Hassallia
Desulfovibrio cf., , ,na,na,na,na,na
Aminiphilus circumscriptus,290732, ,Synergistota,Synergistia,Synergistales,Aminiphilaceae,Aminiphilus
Aminobacterium mobile,81467, ,Synergistota,Synergistia,Synergistales,Aminobacteriaceae,Aminobacterium
Caldicoprobacter oshimai,551788, ,Bacillota,Clostridia,Caldicoprobacterales,Caldicoprobacteraceae,Caldicoprobacter
Dechloromonas agitata,73030, ,Pseudomonadota,Betaproteobacteria,Rhodocyclales,Azonexaceae,Dechloromonas
Desulfitibacter alkalitolerans,264641, ,Bacillota,Clostridia,Moorellales,Desulfitibacteraceae,Desulfitibacter
Desulforegula conservatrix,153026, ,Thermodesulfobacteriota,Desulfobacteria,Desulfobacterales,Desulforegulaceae,Desulforegula
Geovibrio thiophilus,139438, ,Deferribacterota,Deferribacteres,Deferribacterales,Geovibrionaceae,Geovibrio
Kineosporia aurantiaca,49185, ,Actinomycetota,Actinomycetes,Kineosporiales,Kineosporiaceae,Kineosporia
Streptomyces violaceusniger,68280, ,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces
Bacillus firmus,1399,Cytobacillus firmus,Bacillota,Bacilli,Bacillales,Bacillaceae,Cytobacillus
Gracilibacillus halophilus,470864, ,Bacillota,Bacilli,Bacillales,Bacillaceae,Gracilibacillus
Proteus hauseri,183417, ,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Morganellaceae,Proteus
Thermoanaerobaculum aquaticum,1312852, ,Acidobacteriota,Thermoanaerobaculia,Thermoanaerobaculales,Thermoanaerobaculaceae,Thermoanaerobaculum
Ilumatobacter nonamiense,467093,Ilumatobacter nonamiensis,Actinomycetota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,Ilumatobacter
Borrelia anserina,143, ,Spirochaetota,Spirochaetia,Spirochaetales,Borreliaceae,Borrelia
Thermonema rossianum,55505, ,Bacteroidota,Cytophagia,Cytophagales,Thermonemataceae,Thermonema
Parachlamydiaceae bacterium,2052176, ,Chlamydiota,Chlamydiia,Parachlamydiales,Parachlamydiaceae,na
Pseudomonas corrugata,47879, ,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
Phaeospirillum fulvum,1082,Magnetospirillum fulvum,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Magnetospirillum
Cetobacterium somerae,188913, ,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Cetobacterium
Bacillus selenatarsenatis,388741,Mesobacillus selenatarsenatis,Bacillota,Bacilli,Bacillales,Bacillaceae,Mesobacillus
Eubacterium brachy,35517,[Eubacterium] brachy,Bacillota,Clostridia,Eubacteriales,Eubacteriales Family XIII. Incertae Sedis,na
Treponema lecithinolyticum,53418, ,Spirochaetota,Spirochaetia,Spirochaetales,Treponemataceae,Treponema
Gemella bergeriae,84136,Gemella bergeri,Bacillota,Bacilli,Bacillales,Gemellaceae,Gemella
Rhodococcus defluvii,1323361,Prescottella defluvii,Actinomycetota,Actinomycetes,Mycobacteriales,Nocardiaceae,Prescottella
Pseudomonas pelagia,553151,Halopseudomonas pelagia,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Halopseudomonas
Burkholderia caribensis,75105,Paraburkholderia caribensis,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Paraburkholderia
Helicobacter fennelliae,215, ,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter
Catenovulum agarivorans,1172192, ,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Catenovulum
Azotobacter chroococcum,353, ,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Azotobacter
Weissella oryzae,1129792, ,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Weissella
Thermoactinomyces daqus,1329516, ,Bacillota,Bacilli,Bacillales,Thermoactinomycetaceae,Thermoactinomyces
Clostridium papyrosolvens,29362,Ruminiclostridium papyrosolvens,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Ruminiclostridium
Thermus caliditerrae,1330700, ,Deinococcota,Deinococci,Thermales,Thermaceae,Thermus
Agarivorans albus,182262, ,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Agarivorans
Sphingobium lactosutens,522773, ,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium
Paenibacillus forsythiae,365616, ,Bacillota,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus
Roseomonas gilardii,257708, ,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Roseomonadaceae,Roseomonas
Shewanella waksmanii,213783, ,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella
Atopobacter phocae,136492, ,Bacillota,Bacilli,Lactobacillales,Carnobacteriaceae,Atopobacter
Rhizobium selenitireducens,448181,Ciceribacter selenitireducens,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Ciceribacter
Pseudomonas flectens,86187,Phaseolibacter flectens,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Phaseolibacter
Shewanella colwelliana,23, ,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella
Eubacterium xylanophilum,39497, ,Bacillota,Clostridia,Eubacteriales,Eubacteriaceae,Eubacterium
Balneimonas flocculans,217168,Microvirga flocculans,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Methylobacteriaceae,Microvirga
Curvibacter gracilis,230310, ,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Curvibacter
Carnimonas nigrificans,64323, ,Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Carnimonas
Shewanella fidelis,173509, ,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella
Rhizobium larrymoorei,160699,Agrobacterium larrymoorei,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Agrobacterium
Loktanella cinnabarina,1125964,Limimaricola cinnabarinus,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Limimaricola
Bryobacter aggregatus,360054, ,Acidobacteriota,Terriglobia,Bryobacterales,Bryobacteraceae,Bryobacter
Laceyella sacchari,37482, ,Bacillota,Bacilli,Bacillales,Thermoactinomycetaceae,Laceyella
Flavobacterium cauense,510946, ,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium
Flavobacterium saliperosum,329186, ,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium
Mycobacterium septicum,98668,Mycolicibacterium septicum,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium
Bifidobacterium bombi,471511, ,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium
Clostridium saccharobutylicum,169679, ,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium
Sphingobacterium paucimobilis,1385985, ,Bacteroidota,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium
Sphingobium ummariense,420994, ,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium
Formosa agariphila,320324, ,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Formosa
Bacteroidaceae bacterium,2212467, ,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,na
Pseudomonas mediterranea,183795, ,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
Microbacterium mangrovi,1348253, ,Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Microbacterium
Lyngbya aestuarii,118322, ,Cyanobacteriota,Cyanophyceae,Oscillatoriales,Microcoleaceae,Lyngbya
Leifsonia rubra,191389, ,Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Leifsonia
Vibrio diazotrophicus,685, ,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio
Thauera terpenica,76113, ,Pseudomonadota,Betaproteobacteria,Rhodocyclales,Zoogloeaceae,Thauera
Corynebacterium argentoratense,42817, ,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium
Kitasatospora cheerisanensis,81942, ,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Kitasatospora
Mumia flava,1348852, ,Actinomycetota,Actinomycetes,Propionibacteriales,Nocardioidaceae,Mumia
Novosphingobium malaysiense,1348853, ,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium
Flavihumibacter solisilvae,1349421, ,Bacteroidota,Chitinophagia,Chitinophagales,Chitinophagaceae,Flavihumibacter
Janthinobacterium agaricidamnosum,55508, ,Pseudomonadota,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Janthinobacterium
Tenacibaculum maritimum,107401, ,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Tenacibaculum
Sulfurospirillum arsenophilum,56698, ,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Sulfurospirillaceae,Sulfurospirillum
Olleya marilimosa,272164, ,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Olleya
Shewanella decolorationis,256839, ,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella
Thioclava pacifica,285109, ,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Thioclava
Acinetobacter harbinensis,1353941, ,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter
Psychrobacter aquaticus,248452, ,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Psychrobacter
Helicobacter apodemus,135569, ,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter
Alicyclobacillus acidoterrestris,1450, ,Bacillota,Bacilli,Bacillales,Alicyclobacillaceae,Alicyclobacillus
Helicobacter canis,29419, ,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter
Helicobacter macacae,398626, ,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter
Leifsonia aquatica,144185, ,Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Leifsonia
Jeotgalibacillus alimentarius,135826, ,Bacillota,Bacilli,Bacillales,Caryophanaceae,Jeotgalibacillus
Sphingobacterium antarcticus,34086,Pedobacter antarcticus,Bacteroidota,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter
Paracoccus aminophilus,34003, ,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Paracoccus
Rhizobium undicola,78527,Allorhizobium undicola,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Allorhizobium
Mycobacterium iranicum,912594,Mycolicibacterium iranicum,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium
Dyella jiangningensis,1379159, ,Pseudomonadota,Gammaproteobacteria,Lysobacterales,Rhodanobacteraceae,Dyella
Mucispirillum schaedleri,248039, ,Deferribacterota,Deferribacteres,Deferribacterales,Mucispirillaceae,Mucispirillum
Geodermatophilaceae bacterium,1882271, ,Actinomycetota,Actinomycetes,Geodermatophilales,Geodermatophilaceae,na
Intrasporangiaceae bacterium,2021373, ,Actinomycetota,Actinomycetes,Micrococcales,Intrasporangiaceae,na
Solirubrobacterales bacterium,1909295, ,Actinomycetota,Thermoleophilia,Solirubrobacterales,na,na
Rhodospirillales bacterium,2026786, ,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,na,na
Flaviramulus ichthyoenteri,1230531,Wocania ichthyoenteri,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Wocania
Streptomycetaceae bacterium,2021369, ,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,na
Caulobacteraceae bacterium,1978230, ,Pseudomonadota,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,na
Alicyclobacillus macrosporangiidus,392015, ,Bacillota,Bacilli,Bacillales,Alicyclobacillaceae,Alicyclobacillus
Geobacillus vulcani,135517, ,Bacillota,Bacilli,Bacillales,Anoxybacillaceae,Geobacillus
Thermomicrobiales bacterium,2482790, ,Thermomicrobiota,Thermomicrobia,Thermomicrobiales,na,na
Anoxybacillus tepidamans,265948,Anoxybacteroides tepidamans,Bacillota,Bacilli,Bacillales,Anoxybacillaceae,Anoxybacteroides
Lysinibacillus manganicus,1266064,Ureibacillus manganicus,Bacillota,Bacilli,Bacillales,Caryophanaceae,Ureibacillus
Arenimonas malthae,354197, ,Pseudomonadota,Gammaproteobacteria,Lysobacterales,Lysobacteraceae,Arenimonas
Arenimonas metalli,948077, ,Pseudomonadota,Gammaproteobacteria,Lysobacterales,Lysobacteraceae,Arenimonas
Lysinibacillus sinduriensis,561440,Ureibacillus sinduriensis,Bacillota,Bacilli,Bacillales,Caryophanaceae,Ureibacillus
Methyloceanibacter caenitepidi,1384459, ,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Hyphomicrobiaceae,Methyloceanibacter
Adlercreutzia equolifaciens,446660, ,Actinomycetota,Coriobacteriia,Eggerthellales,Eggerthellaceae,Adlercreutzia
Skermanella stibiiresistens,913326, ,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Azospirillaceae,Skermanella
Pontibacillus litoralis,516703, ,Bacillota,Bacilli,Bacillales,Bacillaceae,Pontibacillus
Pontibacillus chungwhensis,265426, ,Bacillota,Bacilli,Bacillales,Bacillaceae,Pontibacillus
Pontibacillus yanchengensis,462910, ,Bacillota,Bacilli,Bacillales,Bacillaceae,Pontibacillus
Lysobacter daejeonensis,346181,Aerolutibacter daejeonensis,Pseudomonadota,Gammaproteobacteria,Lysobacterales,Lysobacteraceae,Aerolutibacter
Knoellia flava,913969, ,Actinomycetota,Actinomycetes,Micrococcales,Intrasporangiaceae,Knoellia
Knoellia aerolata,442954, ,Actinomycetota,Actinomycetes,Micrococcales,Intrasporangiaceae,Knoellia
Knoellia sinensis,136100, ,Actinomycetota,Actinomycetes,Micrococcales,Intrasporangiaceae,Knoellia
Knoellia subterranea,184882, ,Actinomycetota,Actinomycetes,Micrococcales,Intrasporangiaceae,Knoellia
Cellulomonas bogoriensis,301388, ,Actinomycetota,Actinomycetes,Micrococcales,Cellulomonadaceae,Cellulomonas
Intrasporangium oryzae,412687, ,Actinomycetota,Actinomycetes,Micrococcales,Intrasporangiaceae,Intrasporangium
Orbaceae bacterium,3072181, ,Pseudomonadota,Gammaproteobacteria,Orbales,Orbaceae,na
Cronobacter zurichensis,357233,Siccibacter turicensis,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Siccibacter
Campylobacter peloridis,488546, ,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter
Leifsonia xyli,1575, ,Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Leifsonia
Brevundimonas abyssalis,1125965, ,Pseudomonadota,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas
Ruminococcaceae bacterium,2485925,Oscillospiraceae bacterium,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,na
Maribacter forsetii,444515, ,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Maribacter
Acinetobacter nectaris,1219382, ,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter
Actinomadura madurae,1993, ,Actinomycetota,Actinomycetes,Streptosporangiales,Thermomonosporaceae,Actinomadura
Sporolactobacillus laevolacticus,33018, ,Bacillota,Bacilli,Bacillales,Sporolactobacillaceae,Sporolactobacillus
Pseudomonas taeanensis,574962, ,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
Streptomyces albulus,1971,Streptomyces noursei,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces
Exiguobacterium marinum,273528, ,Bacillota,Bacilli,Bacillales,na,Exiguobacterium
Exiguobacterium sibiricum,340145,Exiguobacterium artemiae,Bacillota,Bacilli,Bacillales,na,Exiguobacterium
Exiguobacterium oxidotolerans,223958, ,Bacillota,Bacilli,Bacillales,na,Exiguobacterium
Holospora obtusa,49893, ,Pseudomonadota,Alphaproteobacteria,Holosporales,Holosporaceae,Holospora
Actinomadura oligospora,111804, ,Actinomycetota,Actinomycetes,Streptosporangiales,Thermomonosporaceae,Actinomadura
Sediminibacterium salmoneum,426421, ,Bacteroidota,Chitinophagia,Chitinophagales,Chitinophagaceae,Sediminibacterium
Candidatus Contendobacter,1400859, ,Pseudomonadota,Gammaproteobacteria,na,Candidatus Competibacteraceae,na
Arthrobacter albus,98671,Pseudoglutamicibacter albus,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Pseudoglutamicibacter
Corynebacterium tuscaniense,302449, ,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium
Thalassobacillus devorans,279813, ,Bacillota,Bacilli,Bacillales,Bacillaceae,Thalassobacillus
Bacillus simplex,1478,Peribacillus simplex,Bacillota,Bacilli,Bacillales,Bacillaceae,Peribacillus
Pseudomonas mosselii,78327, ,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
Halotalea alkalilenta,376489, ,Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halotalea
Fervidicella metallireducens,655338, ,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Fervidicella
Corynebacterium glycinophilum,1404244,Corynebacterium glyciniphilum,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium
Bacillus mycoides,1405, ,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus
Cystobacter violaceus,83451,Archangium violaceum,Myxococcota,Myxococcia,Myxococcales,Archangiaceae,Archangium
Flavobacterium beibuense,657326, ,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium
Thermotoga caldifontis,1508419, ,Thermotogota,Thermotogae,Thermotogales,Thermotogaceae,Thermotoga
Thermotoga profunda,1508420, ,Thermotogota,Thermotogae,Thermotogales,Thermotogaceae,Thermotoga
Betaproteobacteria bacterium,1891241, ,Pseudomonadota,Betaproteobacteria,na,na,na
Sinorhizobium americanum,194963, ,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Sinorhizobium
Vagococcus lutrae,81947, ,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Vagococcus
Brevibacillus panacihumi,497735, ,Bacillota,Bacilli,Bacillales,Paenibacillaceae,Brevibacillus
Acholeplasma equifetale,264634, ,Mycoplasmatota,Mollicutes,Acholeplasmatales,Acholeplasmataceae,Acholeplasma
Acholeplasma hippikon,264636, ,Mycoplasmatota,Mollicutes,Acholeplasmatales,Acholeplasmataceae,Acholeplasma
Acholeplasma modicum,2150,Haploplasma modicum,Mycoplasmatota,Mollicutes,Acholeplasmatales,Acholeplasmataceae,Haploplasma
Acidiphilium angustum,523, ,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acidocellaceae,Acidiphilium
Alkaliphilus transvaalensis,114628, ,Bacillota,Clostridia,Peptostreptococcales,Natronincolaceae,Alkaliphilus
Anaerovibrio lipolyticus,82374, ,Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,Anaerovibrio
Bacillus bogoriensis,246272,Alkalihalobacterium bogoriense,Bacillota,Bacilli,Bacillales,Bacillaceae,Alkalihalobacterium
Brachyspira alvinipulli,84379, ,Spirochaetota,Spirochaetia,Brachyspirales,Brachyspiraceae,Brachyspira
Crocinitomix catalasitica,184607, ,Bacteroidota,Flavobacteriia,Flavobacteriales,Crocinitomicaceae,Crocinitomix
Eubacterium cellulosolvens,29322,[Eubacterium] cellulosolvens,Bacillota,Clostridia,Eubacteriales,Eubacteriaceae,Eubacterium
Eubacterium desmolans,39484,Agathobaculum desmolans,Bacillota,Clostridia,Eubacteriales,Butyricicoccaceae,Agathobaculum
Facklamia sourekii,87650,Hutsoniella sourekii,Bacillota,Bacilli,Lactobacillales,Aerococcaceae,Hutsoniella
Fusobacterium perfoetens,852, ,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium
Helicobacter pametensis,95149, ,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter
Legionella fairfieldensis,45064, ,Pseudomonadota,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella
Legionella sainthelensi,28087, ,Pseudomonadota,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella
Mycobacterium genavense,36812, ,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycobacterium
symbiont bacterium, , ,na,na,na,na,na
Propionibacteriaceae bacterium,2021380, ,Actinomycetota,Actinomycetes,Propionibacteriales,Propionibacteriaceae,na
Blautia schinkii,180164, ,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Blautia
[Clostridium] aerotolerans,36832,Lacrimispora aerotolerans,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lacrimispora
Clostridium lundense,319475, ,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium
Mitsuokella jalaludinii,187979, ,Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,Mitsuokella
Proteiniclasticum ruminis,398199, ,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Proteiniclasticum
Sharpea azabuensis,322505, ,Bacillota,Erysipelotrichia,Erysipelotrichales,Coprobacillaceae,Sharpea
Succinivibrio dextrinosolvens,83771, ,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Succinivibrio
Rhizobiales bacterium,1909294,Hyphomicrobiales bacterium,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,na,na
Gammaproteobacteria bacterium,1913989, ,Pseudomonadota,Gammaproteobacteria,na,na,na
Nocardia nova,37330, ,Actinomycetota,Actinomycetes,Mycobacteriales,Nocardiaceae,Nocardia
Clostridium baratii,1561, ,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium
Porticoccus hydrocarbonoclasticus,1073414, ,Pseudomonadota,Gammaproteobacteria,Cellvibrionales,Porticoccaceae,Porticoccus
Polycyclovorans algicola,616992, ,Pseudomonadota,Gammaproteobacteria,Nevskiales,Nevskiaceae,Polycyclovorans
Algiphilus aromaticivorans,382454, ,Pseudomonadota,Gammaproteobacteria,Nevskiales,Algiphilaceae,Algiphilus
Borrelia hispanica,40835, ,Spirochaetota,Spirochaetia,Spirochaetales,Borreliaceae,Borrelia
Borrelia persica,44448, ,Spirochaetota,Spirochaetia,Spirochaetales,Borreliaceae,Borrelia
Clostridium argentinense,29341, ,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium
Marinobacter similis,1420916, ,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Marinobacteraceae,Marinobacter
Bacillus tequilensis,227866, ,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus
Ehrlichia muris,35795, ,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Ehrlichia
Burkholderia andropogonis,28092,Robbsia andropogonis,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Robbsia
Xenorhabdus cabanillasii,351673, ,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Morganellaceae,Xenorhabdus
Xenorhabdus szentirmaii,290112, ,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Morganellaceae,Xenorhabdus
Magnetospirillum gryphiswaldense,55518, ,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Magnetospirillum
Zobellia uliginosa,143224, ,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Zobellia
Rikenellaceae bacterium,2049048, ,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,na
Dyadobacter tibetensis,1211851, ,Bacteroidota,Cytophagia,Cytophagales,Spirosomataceae,Dyadobacter
Bifidobacterium moukalabense,1333651, ,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium
Mycobacterium gastri,1777, ,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycobacterium
